N,Name,Clase,Style,Difficulty,DamageType,Damage,Sturdiness,CrowdControl,Mobility,Functionality
1,Aatrox,Warrior,3,2,P,3,3,2,2,2
2,Ahri,Mage,10,2,M,3,1,2,3,1
3,Akali,Assasin,7,2,PM,3,1,1,3,1
4,Alistar,TankSupport,7,1,M,1,3,3,1,2
5,Amumu,Tank,9,1,M,2,3,3,1,1
6,Anivia,Mage,10,3,M,3,1,3,1,2
7,Annie,Mage,10,1,M,3,1,3,1,2
8,Ashe,Marksman,3,1,P,2,1,3,1,2
9,AurelionSol,Mage,10,3,M,3,1,2,2,1
10,Azir,Mage,5,3,M,3,1,2,2,1
11,Bard,Support,7,3,M,1,1,3,2,3
12,Blitzcrank,Support,3,1,M,1,2,3,1,1
13,Brand,Mage,10,2,M,3,1,2,1,1
14,Braum,TankSupport,8,2,M,1,2,3,1,2
15,Caitlyn,Marksman,2,1,P,3,1,2,2,1
16,Camille,Warrior,4,3,P,3,2,2,3,1
17,Cassiopeia,Mage,10,3,M,3,1,3,1,1
18,ChoGath,MageWarrior,7,1,M,2,3,2,1,1
19,Corki,Marksman,5,2,PM,3,1,1,2,1
20,Darius,TankWarrior,6,2,P,3,2,2,1,1
21,Diana,MageWarrior,7,1,M,3,2,2,2,1
22,DrMundo,TankWarrior,6,1,PM,2,3,1,1,1
23,Draven,Marksman,2,3,P,3,1,1,2,1
24,Ekko,MageWarrior,8,3,M,3,2,2,3,1
25,Elise,MageAssasin,7,3,M,2,2,2,2,1
26,Evelynn,Assasin,8,2,M,2,2,1,2,2
27,Ezreal,MageMarksman,6,2,PM,3,1,1,2,1
28,Fiddlesticks,Mage,10,2,M,3,1,3,1,1
29,Fiora,Warrior,2,3,P,3,2,2,2,2
30,Fizz,MageAssasin,9,3,M,3,1,2,3,1
31,Galio,Mage,10,2,M,2,3,3,2,1
32,Gangplank,Warrior,8,3,P,3,2,2,2,2
33,Garen,TankWarrior,8,1,P,2,3,1,1,1
34,Gnar,Warrior,5,3,P,2,3,2,2,1
35,Gragas,MageWarrior,9,2,M,2,3,3,2,1
36,Graves,Marksman,2,2,P,3,2,1,2,2
37,Hecarim,Warrior,7,2,P,2,2,2,2,1
38,Heimerdinger,Mage,10,2,M,3,1,2,1,2
39,Illaoi,Tank-Warrior,6,2,P,3,2,1,1,1
40,Irelia,Warrior,3,3,PM,2,2,2,3,2
41,Ivern,Mage,1,3,M,1,1,3,2,3
42,Janna,Support,10,1,M,1,1,3,1,3
43,JarvanIV,TankWarrior,6,1,P,2,2,2,2,2
44,Jax,Warrior,2,2,PM,3,2,2,2,1
45,Jayce,Warrior,5,2,P,3,1,1,2,2
46,Jhin,Marksman,3,2,P,3,1,2,1,1
47,Jinx,Marksman,2,2,P,3,1,2,1,1
48,Kai Sa,Marksman,2,2,PM,3,1,0,3,1
49,Kalista,Marksman,2,3,P,3,1,1,3,2
50,Karma,MageSupport,10,1,M,2,1,2,1,2
51,Karthus,Mage,10,2,M,3,1,1,1,2
52,Kassadin,MageAssasin,9,2,M,3,2,1,3,1
53,Katarina,MageAssasin,10,3,M,3,1,1,3,1
54,Kayle,Mage,3,2,PM,3,1,1,1,3
55,Kayn,Assasin,3,2,P,3,1,1,3,1
56,Kennen,Mage,7,2,M,3,1,3,1,1
57,Kha Zix,Assasin,6,2,P,3,1,1,2,1
58,Kindred,Assasin,3,3,P,3,1,2,3,2
59,Kled,Warrior,3,2,P,3,2,1,3,1
60,Kog Maw,Marksman,2,2,PM,3,1,1,1,1
61,Leblanc,MageAssasin,10,3,M,3,1,2,3,1
62,Lee Sin,WarriorAssasin,6,3,P,3,2,2,3,1
63,Leona,Tank,9,1,M,1,3,3,1,1
64,Lissandra,Mage,10,2,M,3,1,3,2,1
65,Lucian,Marksman,4,2,P,3,1,1,3,1
66,Lulu,Support,8,2,M,2,1,2,1,3
67,Lux,Mage,9,1,M,3,1,2,1,2
68,Malphite,Tank,8,1,M,1,3,3,1,1
69,Malzahar,Mage,10,1,M,3,1,3,1,2
70,Maokai,Tank,8,1,M,1,3,3,1,2
71,Master Yi,Assasin,2,1,P,3,1,1,2,1
72,Miss Fortune,Marksman,4,1,P,3,1,1,1,1
73,Mordekaiser,Warrior,8,2,M,3,2,1,1,2
74,Morgana,MageSupport,10,1,M,2,1,3,1,2
75,Nami,Support,9,2,M,1,1,3,1,2
76,Nasus,Warrior,3,1,P,2,3,2,1,1
